0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,O II,Si II,Si III,Si IV
,Wavelength,,4226.1,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4215.539,4250.78,4260.55,4271.076,4326.978,4383.99,4102.892,4341.684,4862.683,6564.61,4010.39,4027.322,4121.973,4144.928,4170.147,4389.162,4472.729,4923.305,5017.077,5049.146,4026.739,4101.198,4201.015,4339.891,4542.864,4860.677,5413.03,5168.761,5174.125,5185.048,4482.383,3995.373,4416.138,4129.218,4553.898,4117.265
,,Intensity,0.469,0.2,0.09,0.247,0.231,0.232,0.423,0.121,0.142,0.158,0.184,0.725,0.733,0.307,0.651,0.528,0.144,0.545,0.381,0.348,0.313,0.273,0.6,0.696,0.635,0.184,0.735,0.637,0.724,0.716,0.755,0.724,0.696,0.584,0.591,0.614,0.74,0.549,0.668,0.248,0.282,0.222,0.739,0.745,0.27,0.461,0.695,0.708
Ca I,4226.1,0.469,,2.34,5.21,1.90,2.03,2.02,1.11,3.88,3.30,2.97,2.55,0.65,0.64,1.53,0.72,0.89,3.26,0.86,1.23,1.35,1.50,1.72,0.78,0.67,0.74,2.55,0.64,0.74,0.65,0.66,0.62,0.65,0.67,0.80,0.79,0.76,0.63,0.85,0.70,1.89,1.66,2.11,0.63,0.63,1.74,1.02,0.67,0.66
Ca I,4260.636,0.2,0.43,,2.22,0.81,0.87,0.86,0.47,1.65,1.41,1.27,1.09,0.28,0.27,0.65,0.31,0.38,1.39,0.37,0.52,0.57,0.64,0.73,0.33,0.29,0.31,1.09,0.27,0.31,0.28,0.28,0.26,0.28,0.29,0.34,0.34,0.33,0.27,0.36,0.30,0.81,0.71,0.90,0.27,0.27,0.74,0.43,0.29,0.28
Ca II,3934.777,0.09,0.19,0.45,,0.36,0.39,0.39,0.21,0.74,0.63,0.57,0.49,0.12,0.12,0.29,0.14,0.17,0.62,0.17,0.24,0.26,0.29,0.33,0.15,0.13,0.14,0.49,0.12,0.14,0.12,0.13,0.12,0.12,0.13,0.15,0.15,0.15,0.12,0.16,0.13,0.36,0.32,0.41,0.12,0.12,0.33,0.20,0.13,0.13
Cr I,4255.534,0.247,0.53,1.23,2.74,,1.07,1.06,0.58,2.04,1.74,1.56,1.34,0.34,0.34,0.80,0.38,0.47,1.72,0.45,0.65,0.71,0.79,0.90,0.41,0.35,0.39,1.34,0.34,0.39,0.34,0.34,0.33,0.34,0.35,0.42,0.42,0.40,0.33,0.45,0.37,1.00,0.88,1.11,0.33,0.33,0.91,0.54,0.36,0.35
Cr I,4276.0,0.231,0.49,1.16,2.57,0.94,,1.00,0.55,1.91,1.63,1.46,1.26,0.32,0.32,0.75,0.35,0.44,1.60,0.42,0.61,0.66,0.74,0.85,0.39,0.33,0.36,1.26,0.31,0.36,0.32,0.32,0.31,0.32,0.33,0.40,0.39,0.38,0.31,0.42,0.35,0.93,0.82,1.04,0.31,0.31,0.86,0.50,0.33,0.33
Cr I,4290.924,0.232,0.49,1.16,2.58,0.94,1.00,,0.55,1.92,1.63,1.47,1.26,0.32,0.32,0.76,0.36,0.44,1.61,0.43,0.61,0.67,0.74,0.85,0.39,0.33,0.37,1.26,0.32,0.36,0.32,0.32,0.31,0.32,0.33,0.40,0.39,0.38,0.31,0.42,0.35,0.94,0.82,1.05,0.31,0.31,0.86,0.50,0.33,0.33
Fe I,4045.04,0.423,0.90,2.11,4.70,1.71,1.83,1.82,,3.50,2.98,2.68,2.30,0.58,0.58,1.38,0.65,0.80,2.94,0.78,1.11,1.22,1.35,1.55,0.70,0.61,0.67,2.30,0.58,0.66,0.58,0.59,0.56,0.58,0.61,0.72,0.72,0.69,0.57,0.77,0.63,1.71,1.50,1.91,0.57,0.57,1.57,0.92,0.61,0.60
Fe I,4046.955,0.121,0.26,0.60,1.34,0.49,0.52,0.52,0.29,,0.85,0.77,0.66,0.17,0.17,0.39,0.19,0.23,0.84,0.22,0.32,0.35,0.39,0.44,0.20,0.17,0.19,0.66,0.16,0.19,0.17,0.17,0.16,0.17,0.17,0.21,0.20,0.20,0.16,0.22,0.18,0.49,0.43,0.55,0.16,0.16,0.45,0.26,0.17,0.17
Fe I,4064.848,0.142,0.30,0.71,1.58,0.57,0.61,0.61,0.34,1.17,,0.90,0.77,0.20,0.19,0.46,0.22,0.27,0.99,0.26,0.37,0.41,0.45,0.52,0.24,0.20,0.22,0.77,0.19,0.22,0.20,0.20,0.19,0.20,0.20,0.24,0.24,0.23,0.19,0.26,0.21,0.57,0.50,0.64,0.19,0.19,0.53,0.31,0.20,0.20
Fe I,4072.67,0.158,0.34,0.79,1.76,0.64,0.68,0.68,0.37,1.31,1.11,,0.86,0.22,0.22,0.51,0.24,0.30,1.10,0.29,0.41,0.45,0.50,0.58,0.26,0.23,0.25,0.86,0.21,0.25,0.22,0.22,0.21,0.22,0.23,0.27,0.27,0.26,0.21,0.29,0.24,0.64,0.56,0.71,0.21,0.21,0.59,0.34,0.23,0.22
Fe I,4144.583,0.184,0.39,0.92,2.04,0.74,0.80,0.79,0.43,1.52,1.30,1.16,,0.25,0.25,0.60,0.28,0.35,1.28,0.34,0.48,0.53,0.59,0.67,0.31,0.26,0.29,1.00,0.25,0.29,0.25,0.26,0.24,0.25,0.26,0.32,0.31,0.30,0.25,0.34,0.28,0.74,0.65,0.83,0.25,0.25,0.68,0.40,0.26,0.26
Fe I,4172.077,0.725,1.55,3.62,8.06,2.94,3.14,3.12,1.71,5.99,5.11,4.59,3.94,,0.99,2.36,1.11,1.37,5.03,1.33,1.90,2.08,2.32,2.66,1.21,1.04,1.14,3.94,0.99,1.14,1.00,1.01,0.96,1.00,1.04,1.24,1.23,1.18,0.98,1.32,1.09,2.92,2.57,3.27,0.98,0.97,2.69,1.57,1.04,1.02
Fe I,4215.539,0.733,1.56,3.66,8.14,2.97,3.17,3.16,1.73,6.06,5.16,4.64,3.98,1.01,,2.39,1.13,1.39,5.09,1.34,1.92,2.11,2.34,2.68,1.22,1.05,1.15,3.98,1.00,1.15,1.01,1.02,0.97,1.01,1.05,1.26,1.24,1.19,0.99,1.34,1.10,2.96,2.60,3.30,0.99,0.98,2.71,1.59,1.05,1.04
Fe I,4250.78,0.307,0.65,1.53,3.41,1.24,1.33,1.32,0.73,2.54,2.16,1.94,1.67,0.42,0.42,,0.47,0.58,2.13,0.56,0.81,0.88,0.98,1.12,0.51,0.44,0.48,1.67,0.42,0.48,0.42,0.43,0.41,0.42,0.44,0.53,0.52,0.50,0.41,0.56,0.46,1.24,1.09,1.38,0.42,0.41,1.14,0.67,0.44,0.43
Fe I,4260.55,0.651,1.39,3.25,7.23,2.64,2.82,2.81,1.54,5.38,4.58,4.12,3.54,0.90,0.89,2.12,,1.23,4.52,1.19,1.71,1.87,2.08,2.38,1.09,0.94,1.03,3.54,0.89,1.02,0.90,0.91,0.86,0.90,0.94,1.11,1.10,1.06,0.88,1.19,0.97,2.62,2.31,2.93,0.88,0.87,2.41,1.41,0.94,0.92
Fe I,4271.076,0.528,1.13,2.64,5.87,2.14,2.29,2.28,1.25,4.36,3.72,3.34,2.87,0.73,0.72,1.72,0.81,,3.67,0.97,1.39,1.52,1.69,1.93,0.88,0.76,0.83,2.87,0.72,0.83,0.73,0.74,0.70,0.73,0.76,0.90,0.89,0.86,0.71,0.96,0.79,2.13,1.87,2.38,0.71,0.71,1.96,1.15,0.76,0.75
Fe I,4326.978,0.144,0.31,0.72,1.60,0.58,0.62,0.62,0.34,1.19,1.01,0.91,0.78,0.20,0.20,0.47,0.22,0.27,,0.26,0.38,0.41,0.46,0.53,0.24,0.21,0.23,0.78,0.20,0.23,0.20,0.20,0.19,0.20,0.21,0.25,0.24,0.23,0.19,0.26,0.22,0.58,0.51,0.65,0.19,0.19,0.53,0.31,0.21,0.20
Fe I,4383.99,0.545,1.16,2.73,6.06,2.21,2.36,2.35,1.29,4.50,3.84,3.45,2.96,0.75,0.74,1.78,0.84,1.03,3.78,,1.43,1.57,1.74,2.00,0.91,0.78,0.86,2.96,0.74,0.86,0.75,0.76,0.72,0.75,0.78,0.93,0.92,0.89,0.74,0.99,0.82,2.20,1.93,2.45,0.74,0.73,2.02,1.18,0.78,0.77
H I,4102.892,0.381,0.81,1.91,4.23,1.54,1.65,1.64,0.90,3.15,2.68,2.41,2.07,0.53,0.52,1.24,0.59,0.72,2.65,0.70,,1.09,1.22,1.40,0.64,0.55,0.60,2.07,0.52,0.60,0.53,0.53,0.50,0.53,0.55,0.65,0.64,0.62,0.51,0.69,0.57,1.54,1.35,1.72,0.52,0.51,1.41,0.83,0.55,0.54
H I,4341.684,0.348,0.74,1.74,3.87,1.41,1.51,1.50,0.82,2.88,2.45,2.20,1.89,0.48,0.47,1.13,0.53,0.66,2.42,0.64,0.91,,1.11,1.27,0.58,0.50,0.55,1.89,0.47,0.55,0.48,0.49,0.46,0.48,0.50,0.60,0.59,0.57,0.47,0.63,0.52,1.40,1.23,1.57,0.47,0.47,1.29,0.75,0.50,0.49
H I,4862.683,0.313,0.67,1.56,3.48,1.27,1.35,1.35,0.74,2.59,2.20,1.98,1.70,0.43,0.43,1.02,0.48,0.59,2.17,0.57,0.82,0.90,,1.15,0.52,0.45,0.49,1.70,0.43,0.49,0.43,0.44,0.41,0.43,0.45,0.54,0.53,0.51,0.42,0.57,0.47,1.26,1.11,1.41,0.42,0.42,1.16,0.68,0.45,0.44
H I,6564.61,0.273,0.58,1.36,3.03,1.11,1.18,1.18,0.65,2.26,1.92,1.73,1.48,0.38,0.37,0.89,0.42,0.52,1.90,0.50,0.72,0.78,0.87,,0.46,0.39,0.43,1.48,0.37,0.43,0.38,0.38,0.36,0.38,0.39,0.47,0.46,0.44,0.37,0.50,0.41,1.10,0.97,1.23,0.37,0.37,1.01,0.59,0.39,0.39
He I,4010.39,0.6,1.28,3.00,6.67,2.43,2.60,2.59,1.42,4.96,4.23,3.80,3.26,0.83,0.82,1.95,0.92,1.14,4.17,1.10,1.57,1.72,1.92,2.20,,0.86,0.94,3.26,0.82,0.94,0.83,0.84,0.79,0.83,0.86,1.03,1.02,0.98,0.81,1.09,0.90,2.42,2.13,2.70,0.81,0.81,2.22,1.30,0.86,0.85
He I,4027.322,0.696,1.48,3.48,7.73,2.82,3.01,3.00,1.65,5.75,4.90,4.41,3.78,0.96,0.95,2.27,1.07,1.32,4.83,1.28,1.83,2.00,2.22,2.55,1.16,,1.10,3.78,0.95,1.09,0.96,0.97,0.92,0.96,1.00,1.19,1.18,1.13,0.94,1.27,1.04,2.81,2.47,3.14,0.94,0.93,2.58,1.51,1.00,0.98
He I,4121.973,0.635,1.35,3.17,7.06,2.57,2.75,2.74,1.50,5.25,4.47,4.02,3.45,0.88,0.87,2.07,0.98,1.20,4.41,1.17,1.67,1.82,2.03,2.33,1.06,0.91,,3.45,0.86,1.00,0.88,0.89,0.84,0.88,0.91,1.09,1.07,1.03,0.86,1.16,0.95,2.56,2.25,2.86,0.86,0.85,2.35,1.38,0.91,0.90
He I,4144.928,0.184,0.39,0.92,2.04,0.74,0.80,0.79,0.43,1.52,1.30,1.16,1.00,0.25,0.25,0.60,0.28,0.35,1.28,0.34,0.48,0.53,0.59,0.67,0.31,0.26,0.29,,0.25,0.29,0.25,0.26,0.24,0.25,0.26,0.32,0.31,0.30,0.25,0.34,0.28,0.74,0.65,0.83,0.25,0.25,0.68,0.40,0.26,0.26
He I,4170.147,0.735,1.57,3.67,8.17,2.98,3.18,3.17,1.74,6.07,5.18,4.65,3.99,1.01,1.00,2.39,1.13,1.39,5.10,1.35,1.93,2.11,2.35,2.69,1.23,1.06,1.16,3.99,,1.15,1.02,1.03,0.97,1.02,1.06,1.26,1.24,1.20,0.99,1.34,1.10,2.96,2.61,3.31,0.99,0.99,2.72,1.59,1.06,1.04
He I,4389.162,0.637,1.36,3.19,7.08,2.58,2.76,2.75,1.51,5.26,4.49,4.03,3.46,0.88,0.87,2.07,0.98,1.21,4.42,1.17,1.67,1.83,2.04,2.33,1.06,0.92,1.00,3.46,0.87,,0.88,0.89,0.84,0.88,0.92,1.09,1.08,1.04,0.86,1.16,0.95,2.57,2.26,2.87,0.86,0.86,2.36,1.38,0.92,0.90
He I,4472.729,0.724,1.54,3.62,8.04,2.93,3.13,3.12,1.71,5.98,5.10,4.58,3.93,1.00,0.99,2.36,1.11,1.37,5.03,1.33,1.90,2.08,2.31,2.65,1.21,1.04,1.14,3.93,0.99,1.14,,1.01,0.96,1.00,1.04,1.24,1.23,1.18,0.98,1.32,1.08,2.92,2.57,3.26,0.98,0.97,2.68,1.57,1.04,1.02
He I,4923.305,0.716,1.53,3.58,7.96,2.90,3.10,3.09,1.69,5.92,5.04,4.53,3.89,0.99,0.98,2.33,1.10,1.36,4.97,1.31,1.88,2.06,2.29,2.62,1.19,1.03,1.13,3.89,0.97,1.12,0.99,,0.95,0.99,1.03,1.23,1.21,1.17,0.97,1.30,1.07,2.89,2.54,3.23,0.97,0.96,2.65,1.55,1.03,1.01
He I,5017.077,0.755,1.61,3.77,8.39,3.06,3.27,3.25,1.78,6.24,5.32,4.78,4.10,1.04,1.03,2.46,1.16,1.43,5.24,1.39,1.98,2.17,2.41,2.77,1.26,1.08,1.19,4.10,1.03,1.19,1.04,1.05,,1.04,1.08,1.29,1.28,1.23,1.02,1.38,1.13,3.04,2.68,3.40,1.02,1.01,2.80,1.64,1.09,1.07
He I,5049.146,0.724,1.54,3.62,8.04,2.93,3.13,3.12,1.71,5.98,5.10,4.58,3.93,1.00,0.99,2.36,1.11,1.37,5.03,1.33,1.90,2.08,2.31,2.65,1.21,1.04,1.14,3.93,0.99,1.14,1.00,1.01,0.96,,1.04,1.24,1.23,1.18,0.98,1.32,1.08,2.92,2.57,3.26,0.98,0.97,2.68,1.57,1.04,1.02
He II,4026.739,0.696,1.48,3.48,7.73,2.82,3.01,3.00,1.65,5.75,4.90,4.41,3.78,0.96,0.95,2.27,1.07,1.32,4.83,1.28,1.83,2.00,2.22,2.55,1.16,1.00,1.10,3.78,0.95,1.09,0.96,0.97,0.92,0.96,,1.19,1.18,1.13,0.94,1.27,1.04,2.81,2.47,3.14,0.94,0.93,2.58,1.51,1.00,0.98
He II,4101.198,0.584,1.25,2.92,6.49,2.36,2.53,2.52,1.38,4.83,4.11,3.70,3.17,0.81,0.80,1.90,0.90,1.11,4.06,1.07,1.53,1.68,1.87,2.14,0.97,0.84,0.92,3.17,0.79,0.92,0.81,0.82,0.77,0.81,0.84,,0.99,0.95,0.79,1.06,0.87,2.35,2.07,2.63,0.79,0.78,2.16,1.27,0.84,0.82
He II,4201.015,0.591,1.26,2.95,6.57,2.39,2.56,2.55,1.40,4.88,4.16,3.74,3.21,0.82,0.81,1.93,0.91,1.12,4.10,1.08,1.55,1.70,1.89,2.16,0.98,0.85,0.93,3.21,0.80,0.93,0.82,0.83,0.78,0.82,0.85,1.01,,0.96,0.80,1.08,0.88,2.38,2.10,2.66,0.80,0.79,2.19,1.28,0.85,0.83
He II,4339.891,0.614,1.31,3.07,6.82,2.49,2.66,2.65,1.45,5.07,4.32,3.89,3.34,0.85,0.84,2.00,0.94,1.16,4.26,1.13,1.61,1.76,1.96,2.25,1.02,0.88,0.97,3.34,0.84,0.96,0.85,0.86,0.81,0.85,0.88,1.05,1.04,,0.83,1.12,0.92,2.48,2.18,2.77,0.83,0.82,2.27,1.33,0.88,0.87
He II,4542.864,0.74,1.58,3.70,8.22,3.00,3.20,3.19,1.75,6.12,5.21,4.68,4.02,1.02,1.01,2.41,1.14,1.40,5.14,1.36,1.94,2.13,2.36,2.71,1.23,1.06,1.17,4.02,1.01,1.16,1.02,1.03,0.98,1.02,1.06,1.27,1.25,1.21,,1.35,1.11,2.98,2.62,3.33,1.00,0.99,2.74,1.61,1.06,1.05
He II,4860.677,0.549,1.17,2.75,6.10,2.22,2.38,2.37,1.30,4.54,3.87,3.47,2.98,0.76,0.75,1.79,0.84,1.04,3.81,1.01,1.44,1.58,1.75,2.01,0.92,0.79,0.86,2.98,0.75,0.86,0.76,0.77,0.73,0.76,0.79,0.94,0.93,0.89,0.74,,0.82,2.21,1.95,2.47,0.74,0.74,2.03,1.19,0.79,0.78
He II,5413.03,0.668,1.42,3.34,7.42,2.70,2.89,2.88,1.58,5.52,4.70,4.23,3.63,0.92,0.91,2.18,1.03,1.27,4.64,1.23,1.75,1.92,2.13,2.45,1.11,0.96,1.05,3.63,0.91,1.05,0.92,0.93,0.88,0.92,0.96,1.14,1.13,1.09,0.90,1.22,,2.69,2.37,3.01,0.90,0.90,2.47,1.45,0.96,0.94
Mg I,5168.761,0.248,0.53,1.24,2.76,1.00,1.07,1.07,0.59,2.05,1.75,1.57,1.35,0.34,0.34,0.81,0.38,0.47,1.72,0.46,0.65,0.71,0.79,0.91,0.41,0.36,0.39,1.35,0.34,0.39,0.34,0.35,0.33,0.34,0.36,0.42,0.42,0.40,0.34,0.45,0.37,,0.88,1.12,0.34,0.33,0.92,0.54,0.36,0.35
Mg I,5174.125,0.282,0.60,1.41,3.13,1.14,1.22,1.22,0.67,2.33,1.99,1.78,1.53,0.39,0.38,0.92,0.43,0.53,1.96,0.52,0.74,0.81,0.90,1.03,0.47,0.41,0.44,1.53,0.38,0.44,0.39,0.39,0.37,0.39,0.41,0.48,0.48,0.46,0.38,0.51,0.42,1.14,,1.27,0.38,0.38,1.04,0.61,0.41,0.40
Mg I,5185.048,0.222,0.47,1.11,2.47,0.90,0.96,0.96,0.52,1.83,1.56,1.41,1.21,0.31,0.30,0.72,0.34,0.42,1.54,0.41,0.58,0.64,0.71,0.81,0.37,0.32,0.35,1.21,0.30,0.35,0.31,0.31,0.29,0.31,0.32,0.38,0.38,0.36,0.30,0.40,0.33,0.90,0.79,,0.30,0.30,0.82,0.48,0.32,0.31
Mg II,4482.383,0.739,1.58,3.69,8.21,2.99,3.20,3.19,1.75,6.11,5.20,4.68,4.02,1.02,1.01,2.41,1.14,1.40,5.13,1.36,1.94,2.12,2.36,2.71,1.23,1.06,1.16,4.02,1.01,1.16,1.02,1.03,0.98,1.02,1.06,1.27,1.25,1.20,1.00,1.35,1.11,2.98,2.62,3.33,,0.99,2.74,1.60,1.06,1.04
N II,3995.373,0.745,1.59,3.72,8.28,3.02,3.23,3.21,1.76,6.16,5.25,4.72,4.05,1.03,1.02,2.43,1.14,1.41,5.17,1.37,1.96,2.14,2.38,2.73,1.24,1.07,1.17,4.05,1.01,1.17,1.03,1.04,0.99,1.03,1.07,1.28,1.26,1.21,1.01,1.36,1.12,3.00,2.64,3.36,1.01,,2.76,1.62,1.07,1.05
O II,4416.138,0.27,0.58,1.35,3.00,1.09,1.17,1.16,0.64,2.23,1.90,1.71,1.47,0.37,0.37,0.88,0.41,0.51,1.88,0.50,0.71,0.78,0.86,0.99,0.45,0.39,0.43,1.47,0.37,0.42,0.37,0.38,0.36,0.37,0.39,0.46,0.46,0.44,0.36,0.49,0.40,1.09,0.96,1.22,0.37,0.36,,0.59,0.39,0.38
Si II,4129.218,0.461,0.98,2.31,5.12,1.87,2.00,1.99,1.09,3.81,3.25,2.92,2.51,0.64,0.63,1.50,0.71,0.87,3.20,0.85,1.21,1.32,1.47,1.69,0.77,0.66,0.73,2.51,0.63,0.72,0.64,0.64,0.61,0.64,0.66,0.79,0.78,0.75,0.62,0.84,0.69,1.86,1.63,2.08,0.62,0.62,1.71,,0.66,0.65
Si III,4553.898,0.695,1.48,3.47,7.72,2.81,3.01,3.00,1.64,5.74,4.89,4.40,3.78,0.96,0.95,2.26,1.07,1.32,4.83,1.28,1.82,2.00,2.22,2.55,1.16,1.00,1.09,3.78,0.95,1.09,0.96,0.97,0.92,0.96,1.00,1.19,1.18,1.13,0.94,1.27,1.04,2.80,2.46,3.13,0.94,0.93,2.57,1.51,,0.98
Si IV,4117.265,0.708,1.51,3.54,7.87,2.87,3.06,3.05,1.67,5.85,4.99,4.48,3.85,0.98,0.97,2.31,1.09,1.34,4.92,1.30,1.86,2.03,2.26,2.59,1.18,1.02,1.11,3.85,0.96,1.11,0.98,0.99,0.94,0.98,1.02,1.21,1.20,1.15,0.96,1.29,1.06,2.85,2.51,3.19,0.96,0.95,2.62,1.54,1.02,
